P1,P2,month
6.2,6.3,May-85
6.5,6.5,Jun-85
4.1,4.1,Jul-85
4.1,4.1,Aug-85
4.4,4.3,Sep-85
3.2,3.1,Oct-85
1.8,1.9,Nov-85
1.2,1.2,Dec-85
1.3,1.3,Jan-86
1.8,1.8,Feb-86
3,3,Mar-86
4.6,4.7,Apr-86
5.7,5.8,May-86
6.2,6.2,Jun-86
4.4,4.3,Jul-86
4.4,4.4,Aug-86
4.4,4.4,Sep-86
3.3,3.2,Oct-86
1.8,1.9,Nov-86
1.1,1.1,Dec-86
1.4,1.4,Jan-87
2,2,Feb-87
2.8,2.9,Mar-87
4.7,4.8,Apr-87
5.4,5.5,May-87
6.3,6.3,Jun-87
5.2,5.1,Jul-87
4.6,4.5,Aug-87
4.4,4.3,Sep-87
3.1,3.1,Oct-87
1.9,2,Nov-87
1.2,1.3,Dec-87
1.4,1.4,Jan-88
2.1,2.1,Feb-88
3.1,3.1,Mar-88
5,5,Apr-88
6.2,6.3,May-88
5.9,5.8,Jun-88
4.3,4.3,Jul-88
4.5,4.3,Aug-88
4,4,Sep-88
3.2,3.2,Oct-88
1.9,2,Nov-88
1.2,1.3,Dec-88
1.3,1.3,Jan-89
1.9,1.9,Feb-89
2.9,2.9,Mar-89
4.7,4.8,Apr-89
5.7,5.9,May-89
6,6,Jun-89
4.6,4.6,Jul-89
4.4,4.3,Aug-89
4.2,4.1,Sep-89
3.1,3.1,Oct-89
1.7,1.8,Nov-89
1.2,1.2,Dec-89
1.4,1.4,Jan-90
2,2,Feb-90
3.1,3,Mar-90
4.6,4.7,Apr-90
6,6.1,May-90
6.1,6,Jun-90
4.4,4.3,Jul-90
4.2,4.1,Aug-90
4,3.9,Sep-90
3.1,3,Oct-90
1.8,1.9,Nov-90
1.2,1.2,Dec-90
1.3,1.3,Jan-91
1.8,1.9,Feb-91
3.1,3.1,Mar-91
4.4,4.5,Apr-91
5.6,5.7,May-91
6.3,6.3,Jun-91
4.9,4.9,Jul-91
4.2,4.2,Aug-91
4.3,4.3,Sep-91
2.9,2.9,Oct-91
1.8,1.9,Nov-91
1.1,1.2,Dec-91
1.2,1.3,Jan-92
1.9,1.9,Feb-92
2.9,2.9,Mar-92
4.3,4.4,Apr-92
